author,book,original,adapted
Грин,Алые паруса,Артур Грэй был рожден в знатной семье аристократов.,Артур Грэй родился в богатой семье аристократов.
Грин,Алые паруса,"Он родился капитаном, хотел быть им и стал им.",Он всегда хотел быть капитаном и стал им.
Грин,Алые паруса,"Огромный дом, в котором родился Грэй, был мрачным внутри и величественным снаружи замком. ","Огромный дом, в котором родился Грэй, был настоящим замком."
Грин,Алые паруса,К переднему фасаду примыкали цветник и часть парка.,"Около замка был цветник, росли старые деревья, протекал ручей."
Грин,Алые паруса,"Грэй неутомимо изучал замок, делая поразительные открытия.","С раннего детства Грэй изучал замок, делая удивительные открытия."
Грин,Алые паруса,Мать Грея обажала своего сына всем сердцем.,Мать Грея очень любила своего сына.
Грин,Алые паруса,"Лилиан Грэй, оставаясь наедине с мальчиком, делалась простой мамой.","Лилиан Грэй, оставаясь вдвоем с мальчиком, делалась простой мамой."
Грин,Алые паруса,Она решительно не могла в чем бы то ни было отказать сыну.,Она не могла ни в чем отказать сыну.
Грин,Алые паруса,"Он мог ездить на любой лошади, брать в замок любую собаку; рыться в библиотеке, бегать босиком и есть, что ему вздумается.","Он мог ездить на любой лошади, брать в замок любую собаку, бегать босиком и есть, что ему только захочется."
Грин,Алые паруса,"Его отец некоторое время боролся с этим, но уступил - не принципу, а желанию жены.","Его отец некоторое время боролся с этим, но потом перестал."
Грин,Алые паруса,"В общем, он был всепоглощенно занят бесчисленными фамильными процессами, начало которых терялось в эпохе возникновения бумажных фабрик, а конец - в смерти всех кляузников, что сына он видел так редко, что иногда забывал, сколько ему лет.","В общем, он был занят государственными делами, сына он видел так редко, что иногда забывал, сколько ему лет."
Грин,Алые паруса,"Таким образом, Грэй жил в своем мире.","Таким образом, Грэй жил в своем мире."
Грин,Алые паруса,"Он играл один - обыкновенно на задних дворах замка, имевших в старину боевое значение.",Он играл один обычно на задних дворах замка. 
Грин,Алые паруса,"Темные ряды книжных шкафов были набиты грудами книг, чертежами и таблицами, рядами новых изданий, картами; разнообразием переплетов, грубых, нежных, черных, пестрых, синих, серых, толстых, тонких, шершавых и гладких.","В высоких темных шкафах было много книг, здесь были еще чертежи и таблицы, карты."
Грин,Алые паруса,"Огромный глобус, заключенный в медный сферический крест экватора и меридиана, стоял на круглом столе.",Огромный глобус стоял на круглом столе.
Грин,Алые паруса,"Обернувшись к выходу, Грэй увидел над дверью огромную картину, сразу содержанием своим наполнившую душное оцепенение библиотеки.","Обернувшись к выходу, Грэй увидел над дверью огромную картину."
Грин,Алые паруса,"Картина изображала корабль, вздымающийся на гребень морского вала.",На картине был изображен корабль.
Грин,Алые паруса,Корабль шел прямо на зрителя.,Корабль шел прямо на зрителя.
Грин,Алые паруса,"Но всего замечательнее была в этой картине фигура человека, стоящего на баке спиной к зрителю.","Но самым интересным в этой картине была фигура человека, который стоял спиной к зрителю."
Грин,Алые паруса,Богатство костюма выказывало в нем капитана корабля.,Это был капитан корабля.
Грин,Алые паруса,Грэй несколько раз приходил смотреть эту картину.,Грэй несколько раз приходил смотреть эту картину.
Грин,Алые паруса,В маленьком мальчике постепенно укладывалось огромное море,В голове маленького мальчика постепенно появлялось огромное море.
Грин,Алые паруса,"Он сжился с ним, роясь в библиотеке, выискивая и жадно читая те книги, за золотой дверью которых открывалось синее сияние океана.","Он искал в библиотеке и читал те книги, в которых ему открывался синий океан."
Грин,Алые паруса,"Там, сея за кормой пену, двигались корабли.",Там двигались корабли.
Грин,Алые паруса,"Часть их теряла паруса, мачты и, захлебываясь волной, опускалась в тьму пучин, где мелькают фосфорические глаза рыб.","Одни из них теряли паруса, мачты и уходили под воду."
Грин,Алые паруса,Другие благополучно грузились в одном порту и выгружались в другом.,Другие спокойно грузили товар в одном порту и выгружались в другом.
Грин,Алые паруса,"Были там еще корабли-пираты, с черным флагом и страшной, размахивающей ножами командой; корабли-призраки, сияющие мертвенным светом синего озарения; военные корабли с солдатами, пушками и музыкой; корабли научных экспедиций, высматривающие вулканы, растения и животных.","Были там еще корабли-пираты, с черным флагом; военные корабли с солдатами, пушками и музыкой; корабли научных экспедиций, изучающая вулканы, растения и животных."
Грин,Алые паруса,"В этом мире, естественно, возвышалась над всем фигура капитана.",Но главной в этом мире была фигура капитана. 
Грин,Алые паруса,"Никакая профессия, кроме этой, не могла бы так удачно сплавить в одно целое все сокровища жизни, сохранив неприкосновенным тончайший узор каждого отдельного счастья.",Никакая другая профессия не интересовала Грея.
Грин,Алые паруса,Эта профессия сочетала в себе все.,В этой профессии было все. 
Грин,Алые паруса,"Опасность, риск, власть природы, свет далекой страны, чудесная неизвестность, мелькающая любовь, цветущая свиданием и разлукой; увлекательное кипение встреч, лиц, событий; безмерное разнообразие жизни.","Опасность, власть природы, свет далекой страны, увлекательные встречи, лица, события."
Грин,Алые паруса,"Осенью, на пятнадцатом году жизни, Артур Грэй тайно покинул дом и проник за золотые ворота моря.","Осенью, когда Артуру Грэю шел пятнадцатый год, он тайно уехал из дома. "
Грин,Алые паруса,"В скорости из порта Дубельт вышла в Марсель шкуна «Ансельм», увозя юнгу с маленькими руками и внешностью переодетой девочки.","Вскоре из порта Дубельт вышла в Марсель шхуна «Ансельм», увозя с собой юнгу. "
